date,cases
2020-02-29,0
2020-03-01,1
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,3
2020-03-06,6
2020-03-07,2
2020-03-08,0
2020-03-09,4
2020-03-10,12
2020-03-11,19
2020-03-12,49
2020-03-13,26
2020-03-14,29
2020-03-15,44
2020-03-16,61
2020-03-17,55
2020-03-18,102
2020-03-19,92
2020-03-20,158
2020-03-21,104
2020-03-22,119
2020-03-23,102
2020-03-24,248
2020-03-25,213
2020-03-26,178
2020-03-27,131
2020-03-28,176
2020-03-29,143
2020-03-30,136
2020-03-31,76
2020-04-01,147
2020-04-02,120
2020-04-03,182
2020-04-04,143
2020-04-05,137
2020-04-06,69
2020-04-07,129
2020-04-08,153
2020-04-09,148
2020-04-10,124
2020-04-11,97
2020-04-12,78
2020-04-13,70
2020-04-14,38
2020-04-15,53
2020-04-16,86
2020-04-17,131
2020-04-18,102
2020-04-19,50
2020-04-20,21
2020-04-21,33
2020-04-22,48
2020-04-23,62
2020-04-24,47
2020-04-25,31
2020-04-26,47
2020-04-27,22
2020-04-28,24
2020-04-29,42
2020-04-30,77
2020-05-01,19
2020-05-02,11
2020-05-03,3
2020-05-04,9
2020-05-05,12
2020-05-06,26
2020-05-07,26
2020-05-08,18
2020-05-09,13
2020-05-10,8
2020-05-11,6
2020-05-12,12
2020-05-13,3
2020-05-14,6
2020-05-15,36
2020-05-16,12
2020-05-17,8
2020-05-18,5
2020-05-19,0
2020-05-20,11
2020-05-21,6
2020-05-22,4
2020-05-23,3
2020-05-24,3
2020-05-25,0
2020-05-26,3
2020-05-27,5
2020-05-28,2
2020-05-29,4
2020-05-30,6
2020-05-31,7
2020-06-01,8
2020-06-02,0
2020-06-03,0
2020-06-04,10
2020-06-05,4
2020-06-06,2
2020-06-07,2
2020-06-08,2
2020-06-09,4
2020-06-10,5
2020-06-11,8
2020-06-12,5
2020-06-13,0
2020-06-14,5
2020-06-15,3
2020-06-16,2
2020-06-17,2
2020-06-18,5
2020-06-19,4
2020-06-20,3
2020-06-21,7
2020-06-22,0
2020-06-23,5
2020-06-24,-3
2020-06-25,1
2020-06-26,5
2020-06-27,10
2020-06-28,6
2020-06-29,7
2020-06-30,3
2020-07-01,3
2020-07-02,5
2020-07-03,5
2020-07-04,3
2020-07-05,0
2020-07-06,3
2020-07-07,0
2020-07-08,6
2020-07-09,2
2020-07-10,-2
2020-07-11,1
2020-07-12,1
2020-07-13,0
2020-07-14,0
2020-07-15,2
2020-07-16,-1
2020-07-17,5
2020-07-18,3
2020-07-19,0
2020-07-20,1
2020-07-21,3
2020-07-22,7
2020-07-23,24
2020-07-24,16
2020-07-25,13
2020-07-26,18
2020-07-27,4
2020-07-28,12
2020-07-29,18
2020-07-30,30
2020-07-31,16
2020-08-01,19
2020-08-02,15
2020-08-03,8
2020-08-04,17
2020-08-05,25
2020-08-06,44
2020-08-07,80
2020-08-08,54
2020-08-09,14
2020-08-10,13
2020-08-11,57
2020-08-12,26
2020-08-13,47
2020-08-14,29
2020-08-15,28
2020-08-16,9
2020-08-17,14
2020-08-18,26
2020-08-19,27
2020-08-20,35
2020-08-21,30
2020-08-22,27
2020-08-23,8
2020-08-24,29
2020-08-25,27
2020-08-26,27
2020-08-27,30
2020-08-28,26
2020-08-29,34
2020-08-30,23
2020-08-31,12
2020-09-01,51
2020-09-02,38
2020-09-03,45
2020-09-04,55
2020-09-05,35
2020-09-06,15
2020-09-07,26
2020-09-08,64
2020-09-09,35
2020-09-10,73
2020-09-11,64
2020-09-12,51
2020-09-13,11
2020-09-14,21
2020-09-15,71
2020-09-16,47
2020-09-17,46
2020-09-18,65
2020-09-19,75
2020-09-20,15
2020-09-21,65
2020-09-22,61
2020-09-23,78
2020-09-24,62
2020-09-25,119
2020-09-26,88
2020-09-27,52
2020-09-28,60
2020-09-29,87
2020-09-30,59
2020-10-01,88
2020-10-02,80
2020-10-03,112
2020-10-04,65
2020-10-05,98
2020-10-06,112
2020-10-07,93
2020-10-08,125
2020-10-09,145
2020-10-10,98
2020-10-11,52
2020-10-12,77
2020-10-13,112
2020-10-14,135
2020-10-15,168
2020-10-16,160
2020-10-17,131
2020-10-18,162
2020-10-19,93
2020-10-20,204
2020-10-21,201
2020-10-22,276
2020-10-23,360
2020-10-24,303
2020-10-25,168
2020-10-26,339
2020-10-27,300
2020-10-28,404
2020-10-29,390
2020-10-30,410
2020-10-31,396
2020-11-01,283
2020-11-02,251
2020-11-03,456
2020-11-04,388
2020-11-05,647
2020-11-06,485
2020-11-07,592
2020-11-08,285
2020-11-09,298
2020-11-10,422
2020-11-11,396
2020-11-12,660
2020-11-13,535
2020-11-14,528
2020-11-15,243
2020-11-16,185
2020-11-17,424
2020-11-18,246
2020-11-19,659
2020-11-20,362
2020-11-21,433
2020-11-22,172
2020-11-23,237
2020-11-24,392
2020-11-25,363
2020-11-26,360
2020-11-27,252
2020-11-28,300
2020-11-29,104
2020-11-30,150
2020-12-01,289
2020-12-02,326
2020-12-03,306
2020-12-04,496
2020-12-05,347
2020-12-06,231
2020-12-07,231
2020-12-08,281
2020-12-09,333
2020-12-10,506
2020-12-11,418
2020-12-12,515
2020-12-13,273
2020-12-14,303
2020-12-15,279
2020-12-16,569
2020-12-17,485
2020-12-18,547
2020-12-19,525
2020-12-20,309
2020-12-21,301
2020-12-22,582
2020-12-23,562
2020-12-24,584
2020-12-25,360
2020-12-26,297
2020-12-27,221
2020-12-28,153
2020-12-29,462
2020-12-30,470
2020-12-31,568
2021-01-01,308
2021-01-02,242
2021-01-03,212
